name,grade,style,crag,area,country,shortnote,notes,date,project,stars,cragnote
Ratte,6+,F,Röthelfels,Frankenjura,Germany,,,2013,,,"nett, wenn man nicht so schwer klettert. Sonst etwas unbefriedigend"
Fiese Luise,10,3 Tage,Luisenwand,Frankenjura,Germany,,"leicht bis zum Bauch, dann coole Leisten und Lochzüge, 3 Tage 2017 mit Thommy, 1 Tag 2015.",26. September 2017,,2,plattiger Sommerfels mit schweren Oldscool Klettertouren. Hier gibt es viel zu tun!
Kaum Zeit zum atmen,10-,,Luisenwand,Frankenjura,Germany,hard,Erste 10- im nördlichen Frankenjura und sicher eine der ersten der Welt. Wieder mit Tommy zusammen als er seine zweite 9a geklettert hat. Gutes Gedresche!,05.05.18,,2,plattiger Sommerfels mit schweren Oldscool Klettertouren. Hier gibt es viel zu tun!
Team Motivation,9/9+,,Luisenwand,Frankenjura,Germany,hard,gar nicht mal leicht. Dafür sehr sehr gut!,2016-06-01,,3,plattiger Sommerfels mit schweren Oldscool Klettertouren. Hier gibt es viel zu tun!
Volk Heckmann Ged.-Weg,9,,Luisenwand,Frankenjura,Germany,,"Schrubber Kamin oben, kommt auf die König'sche Risskletterliste!",05.05.18,,3,plattiger Sommerfels mit schweren Oldscool Klettertouren. Hier gibt es viel zu tun!
Sexappeal,8+,,Luisenwand,Frankenjura,Germany,hard,sackharte Einzelstelle an 2 Finger Stellern,05.05.18,,,plattiger Sommerfels mit schweren Oldscool Klettertouren. Hier gibt es viel zu tun!
Fakir,8,F,Luisenwand,Frankenjura,Germany,hard,gar nicht so leicht oben!,05.05.18,,,plattiger Sommerfels mit schweren Oldscool Klettertouren. Hier gibt es viel zu tun!
21 days,10,,Leupoldsteiner Wand,Frankenjura,Germany,soft,"Eher 10-/10, gute Züge, volle Sikatour, Kikerle",18-06-2019,,,
Master of Desaster,10-,,Leupoldsteiner Wand,Frankenjura,Germany,,"Boulder --> pumpig, fit!",8. August 2017,,1,komplett im Schatten
Eisenvater,9,,Leupoldsteiner Wand,Frankenjura,Germany,soft,soft,8. August 2017,,,komplett im Schatten
"Allmächt, Schrei",6+,o.s.,Leupoldsteiner Wand,Frankenjura,Germany,hard,,18-06-2019,,,
Variante,5,o.s.,Leupoldsteiner Wand,Frankenjura,Germany,hard,"definitiv Klemmkeile mitnehmen, schlechte Tritte",10-06-2019,,,
Kraftmeier,5,o.s.,Leupoldsteiner Wand,Frankenjura,Germany,,Vollspeck,2014,,0,komplett im Schatten
Egoist,5,o.s.,Leupoldsteiner Wand,Frankenjura,Germany,,,2014,,,komplett im Schatten
Abseits,5,o.s.,Leupoldsteiner Wand,Frankenjura,Germany,,,2014,,,komplett im Schatten
Der Weg durch das Auenland,4,F,Leupoldsteiner Wand,Frankenjura,Germany,,,10-06-2019,,3,
Schlechtes Omen,8+,o.s.,Orakel,Frankenjura,Germany,,"Boulderstelle oben, eigentlich ganz in Ordnung, bisschen run-out",2015-06-01,,,bis auf Steinbock ist diese Wand scheiße
Short Romance,7,o.s.,Orakel,Frankenjura,Germany,,,2015-06-01,,,bis auf Steinbock ist diese Wand scheiße
Too Stupid to Sin,6+,o.s.,Orakel,Frankenjura,Germany,,,2015-06-01,,,bis auf Steinbock ist diese Wand scheiße
Masterblaster,10-/10,,Obere Schlossbergwand,Frankenjura,Germany,,"Hookbeta, cooler Boulder.",2016-09-01,,3,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Out of Berlin,9+/10-,3 Tage,Obere Schlossbergwand,Frankenjura,Germany,,3. Go!!!!,2014,,1,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Hochspannung,9+,,Obere Schlossbergwand,Frankenjura,Germany,hard,hart!,2014,,3,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Liebe ohne Chancen,9,,Obere Schlossbergwand,Frankenjura,Germany,,,2016-09-01,,1,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Dala,8+/9-,o.s.,Obere Schlossbergwand,Frankenjura,Germany,,"Henkelparade, gut zum Aufwärmen",2016-05-01,,,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Erwin´s Projekt,8+,,Obere Schlossbergwand,Frankenjura,Germany,hard,sehr schwer. Eher 9-,2014,,2,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Invading Celts,8-,o.s.,Obere Schlossbergwand,Frankenjura,Germany,,saupressig,2014,,,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Treibhauseffekt,8-,o.s.,Obere Schlossbergwand,Frankenjura,Germany,,,2014,,2,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Dezentraler Energiepfad,8-,o.s.,Obere Schlossbergwand,Frankenjura,Germany,,,2013,,3,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Ulala,8-,F,Obere Schlossbergwand,Frankenjura,Germany,,,2013,,,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Fight Graffiti,7-,o.s.,Obere Schlossbergwand,Frankenjura,Germany,,,2013,,,"schaut hässlich aus, geile Kletterei, DER Sommerfels. Hier geht die Post ab"
Heiße Schwester,8+,o.s.,Steinerne Stadt,Frankenjura,Germany,,ganz okay aber eigentlich n kurzer Müll,5. July 2017,,1,
Odins Schwert,7,F,Steinerne Stadt,Frankenjura,Germany,,erste Tour nach meinem Absturz. Und dann gleich so n Dreckshaufen...,5. July 2017,,0,
Shin Kicker,9-,F,Schlosszwergwand,Frankenjura,Germany,,,2014,,,
Kraftwerk B,8-,F,Schlosszwergwand,Frankenjura,Germany,,,2014,,,
Schweinebär,9,2. Go,Roter Fels,Frankenjura,Germany,,fast onsight! Am letzten schweren Zug rausgekippt. 2. Go,2014,,,"classic, die Routen hier muss man gemacht haben"
Ringe der Idioten + Weltmeister der Herzen,9-,o.s.,Roter Fels,Frankenjura,Germany,,2. SL ist unlohnend und dreckig,2014,,3,"classic, die Routen hier muss man gemacht haben"
Luftikus,8,o.s.,Roter Fels,Frankenjura,Germany,,"2. SL von HM Ged.-Weg. Coole Kreuzzüge, logische Linie",2016-06-01,,,"classic, die Routen hier muss man gemacht haben"
Hannig Mayer Gedenkweg,8-,o.s.,Roter Fels,Frankenjura,Germany,,nicht leicht für 8-,2016-06-01,,,"classic, die Routen hier muss man gemacht haben"
Schaumschläger,7-,,Roter Fels,Frankenjura,Germany,,mit zwei mal fett reinspringen um Keil&Friend zu testen,2014,,3,"classic, die Routen hier muss man gemacht haben"
Frühlingsweg,6+,,Roter Fels,Frankenjura,Germany,,clean bis zur Zusammenführung der beiden Routen,2014,,,"classic, die Routen hier muss man gemacht haben"
Fred Feuerstein,10+,,Kanzelfels,Frankenjura,Germany,,"Beste 10+ in Franken! Züge gehen alle, der schwerste ist der Blocker am 2. Haken. Am ersten Tag schon bis oben gelinkt ohne die ersten 6 Züge",,X,3,"Schattenfels mit Fred Feuerstein, die geniale 10+ Linie!"
Blutspur,9+,2. Go,Kanzelfels,Frankenjura,Germany,hard,"2. Go, im Franzosengrad eher 8a",2015-05-01,,1,"Schattenfels mit Fred Feuerstein, die geniale 10+ Linie!"
Nosferatu,9,,Kanzelfels,Frankenjura,Germany,,"kratziger Einstieg, dann Platte, dann komisches Ende. Unlohnend",2015-05-01,,,"Schattenfels mit Fred Feuerstein, die geniale 10+ Linie!"
Maximator,9-,F,Kanzelfels,Frankenjura,Germany,,ein schwerer Zug unten und technisch an super Gestein oben,2015-05-01,,,"Schattenfels mit Fred Feuerstein, die geniale 10+ Linie!"
Finger in Harmonie,9,2. Go,Kühlochfels,Frankenjura,Germany,,2. Go,2014,,,"kühler, schattiger Nordfels, weit zu fahren&laufen, Killer-Hakenabstände"
Rechtes Trumm,9-/9,,Kühlochfels,Frankenjura,Germany,,,,X,,"kühler, schattiger Nordfels, weit zu fahren&laufen, Killer-Hakenabstände"
Judas Ziege,9-,o.s.,Kühlochfels,Frankenjura,Germany,,,2014,,2,"kühler, schattiger Nordfels, weit zu fahren&laufen, Killer-Hakenabstände"
Sommernachtstraum,9-,,Kühlochfels,Frankenjura,Germany,,,27. August 2017,,,"kühler, schattiger Nordfels, weit zu fahren&laufen, Killer-Hakenabstände"
Ab geht die Post,8+,F,Kühlochfels,Frankenjura,Germany,,,2014,,,"kühler, schattiger Nordfels, weit zu fahren&laufen, Killer-Hakenabstände"
Reif für die Insel,8,o.s.,Kühlochfels,Frankenjura,Germany,,,2014,,3,"kühler, schattiger Nordfels, weit zu fahren&laufen, Killer-Hakenabstände"
Reise nach Indien,8-,o.s.,Kühlochfels,Frankenjura,Germany,,,2014,,3,"kühler, schattiger Nordfels, weit zu fahren&laufen, Killer-Hakenabstände"
Freundschaftsweg,7,o.s.,Napoleon,Frankenjura,Germany,,"fand ich jetzt nicht so gut, wie die 3 Sterne im Führer verheißen",17. May 2017,,1,einer der beeindruckensten Türme des Frankenjura! Schöne leichte Touren mit weiten HA
Südwestwand,6+,o.s.,Napoleon,Frankenjura,Germany,,cool!,17. May 2017,,,einer der beeindruckensten Türme des Frankenjura! Schöne leichte Touren mit weiten HA
Franken Plaisir,5+,o.s.,Neue Heimat,Frankenjura,Germany,,schwer oben,13. May 2017,,,ist okay die Wand... Nichts besonderes
Cafe Caspary,5+,o.s.,Neue Heimat,Frankenjura,Germany,,schwer oben,13. May 2017,,,ist okay die Wand... Nichts besonderes
Flex Control,10-,,Neppwand,Frankenjura,Germany,hard,wahnsinns Platte mit diffiziler technischer Kletterei into krass dynamisches Dach. Richtig geile Tour!,25. May 2017,,3,
Witchcraft,10-,,Neumühle,Frankenjura,Germany,soft,"Soft, 1 Tag mit völlig zerstörter Haut, eine der besten Touren Frankens!!!",2015-09-01,,2,
Amadeus Schwarzenegger,10-,,Richard Wagner Fels,Frankenjura,Germany,,"sehr schwierige Boulderstelle an unangenehmen 1-2 Finger Steller am Wulst. Oben raus leicht. Verletzungspotential; Beta: unten auf dem Band stehen, links in 2 Finger Loch (mittlere beiden Finger). Rechts auf Zange abfassen, mit rechts in offensichtlichen Tritt stehen. Rechts verlängern auf 2 Finger Zange. Trittwechsel und rechten Hook in Verschneidung mit links auf Mono-Zange abfassen. Rechts auf Tritt wechseln und links in guten Tritt steigen. Jetzt schwerster Zug: Verlängern auf 2 Finger Leiste (erst als Zange fangen, dann stellen). Mit rechts tief stehen (dort wo der Hook lag) und rechts in guten Sloper schnappen (weit!). Von dort klippen. Links Mono, kleinen Tritt anstehen und auf Leistengekrümel. Tief stehen und links auf Sloperleiste. Rechts auf 3 Fingersteller, links auf Leiste und rechts Henkel. Oben raus leicht",,X,2,trocknet schnell ab. Abgespeckt aber sehr gute Touren!!!
Magnet,9,,Richard Wagner Fels,Frankenjura,Germany,hard,"hart! Weiter Spanner in die ""Pistole"". Dann etwas leichter und oben luftig weite Züge an schlechten Griffen im pumpigen Gelände",2016-09-01,,2,trocknet schnell ab. Abgespeckt aber sehr gute Touren!!!
Rubberneck,8+,,Richard Wagner Fels,Frankenjura,Germany,hard,"schwer am Wulst, hart zu onsighten",2016-09-01,,,trocknet schnell ab. Abgespeckt aber sehr gute Touren!!!
Fight Gravity,8+,o.s.,Richard Wagner Fels,Frankenjura,Germany,soft,"Super cool :), hat sich eher einfach für den Grad angefühlt",2013,,3,trocknet schnell ab. Abgespeckt aber sehr gute Touren!!!
Direkte Westwand,8,F,Richard Wagner Fels,Frankenjura,Germany,,Bei 5° und Killerwind... oben scary,2016-10-01,,,trocknet schnell ab. Abgespeckt aber sehr gute Touren!!!
Apokalypse,8-,o.s.,Richard Wagner Fels,Frankenjura,Germany,,"Sloperstelle nach dem zweiten Haken, sehr weite Hakenabstände",2016-09-01,,,trocknet schnell ab. Abgespeckt aber sehr gute Touren!!!
Lohengrin,8-,o.s.,Richard Wagner Fels,Frankenjura,Germany,hard,schwer,2013,,,trocknet schnell ab. Abgespeckt aber sehr gute Touren!!!
Westverschneidung,6+,o.s.,Richard Wagner Fels,Frankenjura,Germany,hard,"Gute Genußtour, allerdings weite HA, würde ich keinem 7er Kletterer empfehlen",2018-02-24,,,
SMS,10-,2. Go,Jungfernriss,Frankenjura,Germany,,Ohne zu übertreiben eine der besten Routen in dem Grad in Franken,2019-06-12,,3,
(?),8+,F,Jungfernriss,Frankenjura,Germany,,,2019-06-12,,,
Schwarze Magie,8+,F,Schwarze Wand,Frankenjura,Germany,,"weite Hakenabstände, cool und scary",2. April 2017,,2,
Sisyphos,8-,F,Schwarze Wand,Frankenjura,Germany,,8 mal an einem Tag auf Speed geklettert,2. April 2017,,,
Peitsche,7+,F,Schwarze Wand,Frankenjura,Germany,,"Riss! Handklemmer, cool",2. April 2017,,1,
Sunblocker,10-/10,,Solarium,Frankenjura,Germany,,"richtig deluxe Wandkletterei, am 5. Go des Tages nach 3x Abfallen am Schlusszug (4 Finger auf der Leiste sind besser als nur zwei... :-D ) gerade so pben kleben geblieben. Sauuuugeil!",8. April 2017,,3,
Firefighter,9,,Solarium,Frankenjura,Germany,,quasi Flash,1. April 2017,,1,
Schildkröte,8,o.s.,Streitberger Schild,Frankenjura,Germany,,"Güllich, Platten 8er! Super stolzer Onsight",2014,,2,nahe an Erlangen und mit dem ersten Roten Punkt von Kurt himself
Arnoldplatte light,7+,o.s.,Streitberger Schild,Frankenjura,Germany,,,2014,,,nahe an Erlangen und mit dem ersten Roten Punkt von Kurt himself
Unnamed,9-,F,Grundfels,Frankenjura,Germany,,"Sau cool, dass ich´s geflasht habe aber das ist nicht 9+/10-. Eher 9+. Trotzdem fit! Gebohrte Löcher und Kurbelzüge",7. May 2017,,,
Via Carmen,8,o.s.,Grundfels,Frankenjura,Germany,,echt hart oben!,7. May 2017,,,
Alte Route,7,F,Grundfels,Frankenjura,Germany,,nicht so gut. Hat keinen Stern verdient,7. May 2017,,,
Tower of Power,8+/9-,,Glatte Wand,Frankenjura,Germany,,,2014,,2,
Rampensau,10-,2. Go,Soranger Wand,Frankenjura,Germany,,"1. Versuch nach dem Ausbouldern. Coole Variation, die die Zwei Muskeltiere schon ein ganzen Tacken schwerer macht!",15. August 2017,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Doppelpack,10-,,Soranger Wand,Frankenjura,Germany,hard,"Boulderstelle unten an Leisten, oben pumpig. Einfingersplitloch für rechte Hand, 3 Tage",2015,,2,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Leichte Beute,9+/10-,,Soranger Wand,Frankenjura,Germany,,"cooler Sprung, unklar, ob Klaus mir beim abhalten des Schwungs zu wenig Seil gegeben hat. Er sagt es war Schlappseil drin. Bisschen ärgerlich, aber coole Tour auf jeden Fall!",5 April 2017,,1,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Die Zwei Muskeltiere,9+,F,Soranger Wand,Frankenjura,Germany,,"Fette Tour! Cool sie zu flashen! Bin fit! Mit Assi, Waldeck und Jakob",15. August 2017,,2,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Massaker,9,,Soranger Wand,Frankenjura,Germany,,Kurze Maxkraftroute. Oft nass,2014,,1,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Checkpoint Charlie (Pickelsau),9-,F,Soranger Wand,Frankenjura,Germany,,,2014,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Hungry Eyes,8+,2. Go,Soranger Wand,Frankenjura,Germany,hard,"2. Go, schwer",2014,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Miss Piggy,8+,o.s.,Soranger Wand,Frankenjura,Germany,,cooler als Vanceman,15. August 2017,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Vanceman,8,o.s.,Soranger Wand,Frankenjura,Germany,hard,Schmerzhaft & schwer,15. August 2017,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Schweine im Weltall,8,o.s.,Soranger Wand,Frankenjura,Germany,,verrückte Hooks,2014,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Any Chance,8-,o.s.,Soranger Wand,Frankenjura,Germany,,schöner als Second Chance,2014,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Second Chance,8-,F,Soranger Wand,Frankenjura,Germany,,,2014,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
A-Hörnchen,8-,o.s.,Soranger Wand,Frankenjura,Germany,,kurz aber nett,2014,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Die alte Sau,8-,o.s.,Soranger Wand,Frankenjura,Germany,,kräftig,2014,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Zeitspiel,7-,,Soranger Wand,Frankenjura,Germany,trad,"Trad, richtig scary",15. August 2017,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Aus die Maus,6+,o.s.,Soranger Wand,Frankenjura,Germany,,,2014,,,"Wand im Halbschatten durch Bäume. Scharfer Fels, die 3 Routen in der rechten Grotte sind deluxe"
Krampfhammer,9,2. Go,Weißenstein,Frankenjura,Germany,soft,"2. Go, soft",2014,,1,"immer voll, am besten an einem knackigen Wintertag hinfahren und alles abholen"
Strohdach,8+/9-,o.s.,Weißenstein,Frankenjura,Germany,,,2014,,,"immer voll, am besten an einem knackigen Wintertag hinfahren und alles abholen"
Entsafter,8+,o.s.,Weißenstein,Frankenjura,Germany,,,2014,,2,"immer voll, am besten an einem knackigen Wintertag hinfahren und alles abholen"
Dampfhammer,8,o.s.,Weißenstein,Frankenjura,Germany,,,2014,,2,"immer voll, am besten an einem knackigen Wintertag hinfahren und alles abholen"
Quergang,8-,,Weißenstein,Frankenjura,Germany,,,15. March 2017,,,"immer voll, am besten an einem knackigen Wintertag hinfahren und alles abholen"
Wilde 13,8-,o.s.,Weißenstein,Frankenjura,Germany,,,2014,,,"immer voll, am besten an einem knackigen Wintertag hinfahren und alles abholen"
The Dance Alone,9+/10-,2. Go,Weidlwanger Wand,Frankenjura,Germany,,"2. Versuch, hirnrissig abgesicht aber sehr schön. Soft",2015-04-01,,3,"sehr schöne, im Führer recht unscheinbare Wand. Lohnt sich!"
Shatreng,9+,2. Go,Weidlwanger Wand,Frankenjura,Germany,,Genialer Plattenboulder!,2019-03-24,,3,"sehr schöne, im Führer recht unscheinbare Wand. Lohnt sich!"
Weg des geringsten Widerstands,9,,Weidlwanger Wand,Frankenjura,Germany,,richtig lässiger Link-up. Klettert sich mega gut,2019-03-24,,2,"sehr schöne, im Führer recht unscheinbare Wand. Lohnt sich!"
Zaphod,9-/9,,Weidlwanger Wand,Frankenjura,Germany,,wunderschön! Eine der besten 9er in Franken,2015-04-01,,3,"sehr schöne, im Führer recht unscheinbare Wand. Lohnt sich!"
Alter Mann was nun?,8+,,Weidlwanger Wand,Frankenjura,Germany,,unten splittrig aber trotzdem schön,2015-04-01,,,"sehr schöne, im Führer recht unscheinbare Wand. Lohnt sich!"
Ton in Ton,8+,F,Weidlwanger Wand,Frankenjura,Germany,,total geil! 3 Sterne!,2019-03-24,,3,"sehr schöne, im Führer recht unscheinbare Wand. Lohnt sich!"
Sky Marshal,10-,2. Go,Ankatalwand und -turm,Frankenjura,Germany,,"2. Go, saugut!",6. May 2017,,3,Plattenkletterei vom feinsten
Flugkontrolle,9+/10-,4. Go,Ankatalwand und -turm,Frankenjura,Germany,,"4. Go. Erste 8a, Platte, steht auch als 7c+ manchmal drin",2014,,2,Plattenkletterei vom feinsten
Omaha Beach,9+,,Ankatalwand und -turm,Frankenjura,Germany,,mit Sky Marshal zusammen.,6. May 2017,,1,Plattenkletterei vom feinsten
Cafe Kraft,9,2. Go,Ankatalwand und -turm,Frankenjura,Germany,,2. Go,2014,,,Plattenkletterei vom feinsten
New Dimensions,8+/9-,F,Ankatalwand und -turm,Frankenjura,Germany,,,2014,,,Plattenkletterei vom feinsten
Computerspiele,8,o.s.,Ankatalwand und -turm,Frankenjura,Germany,,,2014,,3,Plattenkletterei vom feinsten
Frankengold,7+,o.s.,Ankatalwand und -turm,Frankenjura,Germany,,,2014,,,Plattenkletterei vom feinsten
Halloween,10,,Schwalbenloch,Frankenjura,Germany,,harter 10er aber weltgeile Züge. Sehr steil (mind. 50 Grad) und oben Reichweite mit saugeilem Mono,,X,3,obwohl gesperrt ein super Sommefels
Osho,10-,4. Go,Schwalbenloch,Frankenjura,Germany,,"4. Go, eine Session bei 30 Grad im Schatten. Wahnsinn!!!!!",2015-07-01,,2,obwohl gesperrt ein super Sommefels
Simon,10-,,Student,Frankenjura,Germany,,"eine der besten Ausdauerrouten mit genialen Bewegungen, nach 3 Jahren des nicht-wieder-an-den-Felsen-kommens am ersten Tag im 4. Go geklettert. Fit! Ganz oben noch 2 mal gefallen",27 February 2017,,3,"Winterfels, nur bei unter 10 Grad kletterbar"
Ehmann Ged. Weg,9,,Student,Frankenjura,Germany,,,,X,,"Winterfels, nur bei unter 10 Grad kletterbar"
Leichte Acht,8,o.s.,Student,Frankenjura,Germany,,gut zum Aufwärmen,27 February 2017,,,"Winterfels, nur bei unter 10 Grad kletterbar"
Nasenbohrer,9+,F,Applauskurve,Frankenjura,Germany,,,01-06-2019,,,
Neigsabbt,6-,o.s.,Breitenberg Südwand,Frankenjura,Germany,,,2019-03-30,,,Perfekte Wand um Leuten das Klettern beizubringen
Barbarelli Weg,4+,F,Breitenberg Südwand,Frankenjura,Germany,,,2019-03-30,,,Perfekte Wand um Leuten das Klettern beizubringen
Krebs,4,o.s.,Breitenberg Südwand,Frankenjura,Germany,,,2019-03-30,,,Perfekte Wand um Leuten das Klettern beizubringen
Stier,3+,F,Breitenberg Südwand,Frankenjura,Germany,,,2019-03-30,,,Perfekte Wand um Leuten das Klettern beizubringen
Das Spiel ist aus,9/9+,2. Go,Breitenstein,Frankenjura,Germany,,2. Go,2014,,,gibt nur ein paar Routen die es wert sind. Der weite Weg von Erlangen lohnt sich dafür nicht
Gänsehaut,9-,2. Go,Breitenstein,Frankenjura,Germany,,2. Go,2014,,,gibt nur ein paar Routen die es wert sind. Der weite Weg von Erlangen lohnt sich dafür nicht
Lifting,6,o.s.,Breitenstein,Frankenjura,Germany,,,2014,,,gibt nur ein paar Routen die es wert sind. Der weite Weg von Erlangen lohnt sich dafür nicht
La belle au bois dormant,10-,F,Dornröschenwand,Frankenjura,Germany,,"quasi geflasht, habe davor Märchenprinz zum aufwärmen geonsightet und die beiden Touren teilen sich die ersten 4 Haken (~8+). Saugeil!! Eher leicht für 10-",12. April 2017,,2,mega gutes Gestein!
Der kleine Prinz,10-,,Dornröschenwand,Frankenjura,Germany,,"viel schwerer als La Belle! Unten harte Platte mit schwerem Aufsteher und oben Bugkletterei an kleinem Drescher, hautig, nicht so toll",,X,,mega gutes Gestein!
Wachgeküsst Rechtsausstieg,9+,,Dornröschenwand,Frankenjura,Germany,,unten ein Bouldern und oben an abartig geilem Gestein mit weiten HA durch die Platte,12. April 2017,,3,mega gutes Gestein!
Märchenprinz,9-,o.s.,Dornröschenwand,Frankenjura,Germany,,nicht so leicht!! Aber dafür extrem geil. Schwerer Verschneidungsboulder unten. Nicht die beste Aufwärmtour :-D,12. April 2017,,,mega gutes Gestein!
Anschlag,7+,o.s.,Dornröschenwand,Frankenjura,Germany,,ok,28. May 2017,,1,mega gutes Gestein!
Für Heini,6+,F,Dornröschenwand,Frankenjura,Germany,,super Tour!,28. May 2017,,2,mega gutes Gestein!
Power Of Love,9-,o.s.,Dachlwand,Frankenjura,Germany,,,2014,,,"sonnig, speckig, klassik"
Borderline,9-,,Rumpelkammer,Frankenjura,Germany,hard,schwer!,2014,,,
Victoria,9+/10-,2. Go,Rammstein,Frankenjura,Germany,,"zweiter Go, sehr coole Wandkletterei mit guten Hakenabständen. Oben muss man auch mal wegklettern",2016-07-01,,3,
Molotow,10-/10,,Bleisteine,Frankenjura,Germany,,"eigentlich schon am ersten Tag geklettert nur ohne die erste 7+ SL, bei Regen sehr nass oben, dann beim nächsten Tag weggezappt, 5.Go",2015-06-01,,2,schöne Nordwände im Wald mit Klassikern
Not for Stamp Collectors,9-,o.s.,Bleisteine,Frankenjura,Germany,hard,"schwer für 9-, Griffausbruch am Wulst, jetzt muss man ziemlich kleine Leiste halten",2015-05-01,,,schöne Nordwände im Wald mit Klassikern
Die Entdeckung der Langsamkeit,8+/9-,o.s.,Bleisteine,Frankenjura,Germany,,,2014,,2,schöne Nordwände im Wald mit Klassikern
Erazerhead,8+/9-,F,Bleisteine,Frankenjura,Germany,F,Sehr toll. Bleibt bei Regen tatsächlich länger trocken,2015-05-01,,2,schöne Nordwände im Wald mit Klassikern
Fliegender Engländer,8,o.s.,Bleisteine,Frankenjura,Germany,,unlohnend,2015-04-01,,,schöne Nordwände im Wald mit Klassikern
Ist doch logisch,8,o.s.,Bleisteine,Frankenjura,Germany,,,2014,,,schöne Nordwände im Wald mit Klassikern
Offenbarung,8-,o.s.,Bleisteine,Frankenjura,Germany,hard,sackhart,2014,,2,schöne Nordwände im Wald mit Klassikern
Post Mortem,9+,2. Go,Bladerunnerwand,Frankenjura,Germany,,eigentlich ganz cool!,2019-03-23,,,"Nicht so mega lohnend... Ganz okay fürs Frühjahr, etwas splittrig"
Al & Peg,9,o.s.,Bladerunnerwand,Frankenjura,Germany,,"ich wusste, dass der eine Griff gut ist, würde es trotzdem als onsight sehen aber debattierbar",2019-03-23,,,"Nicht so mega lohnend... Ganz okay fürs Frühjahr, etwas splittrig"
Andy,7,o.s.,Bladerunnerwand,Frankenjura,Germany,,,2019-03-23,,,"Nicht so mega lohnend... Ganz okay fürs Frühjahr, etwas splittrig"
Uranus,9+,,Universum,Frankenjura,Germany,,sehr cool. Oben mit Heel-Toe-Cam!,2015-04-01,,2,beeindruckende Wand mit Roof Warrior als Deluxe Route. Im Frühjahr sehr dreckig
Saturn,8,o.s.,Universum,Frankenjura,Germany,,hässlich und dreckig,2015-04-01,,,beeindruckende Wand mit Roof Warrior als Deluxe Route. Im Frühjahr sehr dreckig
Trainspotting,10-/10,,Veldener Wand,Frankenjura,Germany,,Boulder,,X,3,ideal mit dem Zug zu erreichen
Ikarus,9-,3. Go,Veldener Wand,Frankenjura,Germany,,3 Versuche :-O,18.04.18,,,ideal mit dem Zug zu erreichen
Ostriss,7,o.s.,Veldener Wand,Frankenjura,Germany,,"grünlich, erste Tour nachm Yosemite",18.04.18,,,ideal mit dem Zug zu erreichen
Nosegrind,10,,Wüstenstein,Frankenjura,Germany,,"sehr schwere Boulderstelle über das Dach, unten leicht. Vllt nach dem Winter",,X,3,sandig aber toll. Oft voll!
Zuckerschmelze,9+,,Wüstenstein,Frankenjura,Germany,,Drei 9+ Routen an einem Tag!!! Zuckerschmelte ist richtig kleingriffig mit vielen Monos die man prügeln muss und sehr weitem Hakenabstand,2015-09-01,,2,sandig aber toll. Oft voll!
Takla Makan,9+,,Wüstenstein,Frankenjura,Germany,,"kurze Boulderroute, meist dreckig",2015-09-01,,1,sandig aber toll. Oft voll!
